StoreName,Age,Gender,CountryName,City,State,TimeZone,SignUpType,SubscriptionStatus,PlanName,Industry,AlreadySelling,Revenue,CreatedDate,subdomain,StoreUrl,dasboard link,F20,Is it connected to their website,Are they active,Notes,Household Income,Marital Status,Home Owner Status,Length of Residence,Education,Occupation,Health & Wellness,Travel,Auto Parts,Kids & Babies,Nutrition,Home & Garden,Garden & Patio,Garden Supplies,Home Decor,Home Improvement,Kitchen & Dining,Pets & Supplies,Gift Buyer,Toys,Sports & Outdoors,Beauty,Mens Clothing,Shoes,Womens Clothing,Jewelry,Electronics,Computers & Software,Home Buyer,Cord Cutter,Deal Seeker,Luxury Shopper,Big Spender,Online Buyer,PostalCode,entertainment sites,Communities,Groups,Influencers
360PUNCH®?,25-34,Male,Canada,Montreal,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Professional,Fitness,I haven't yet started selling,0,18/9/2020 12:01,360punchlive,https://360punchlive.yondo.com,https://dashboard.yondo.com/manage?store=360punchlive,Fitness - providing private training workout for boxing and muay thai,Yes,Yes,Unpublished Store.unpublished live 1 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece360,"Whats Up West Island
Inc.
CBC/Radio Canada",,
"SAFFIRE LEGAL, PC",45-54,Female,United States of America,Irvine,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Other,I haven't yet started selling,5k-50k,7/5/2018 20:17,saffirelegal,https://video.saffirelegal.com,https://dashboard.yondo.com/manage?store=saffirelegal,Paralegal firm,No,Yes,uses1-1 fesure to offer phone and video consultation on developing and maintaining successful employee/employer relationships.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange County Bar Association,
CRU Yoga,25-34,Female,United States of America,Jupiter,FL,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,30/3/2020 16:10,CRUYoga,https://CRUYoga.yondo.com,https://dashboard.yondo.com/manage?store=CRUYoga,Fitness - providing work out session and training using movement and flexibility,Yes,Yes,4/18/2020 live 1-to-1 update.uses videos for training.with recent activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Thru Pregnancy,45-54,Female,United States of America,Branford,CT,(UTC-06:00) Central Time (US & Canada),New Signup,active,/,Fitness,I am already selling online using a different system,5k-50k,03abr2020 16:42:28,dtp,https://dtp.yondo.com,https://dashboard.yondo.com/manage?store=dtp,Fitness - workout specifically for pregnant women to empower body and receovery as well as parenthood,No,Yes,6/9/2020 last video update . with activities via subscription.courses offered,,,,,,,,,,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,,Interested,Interested,Interested,Interested,Interested,Interested,Interested,,,,Interested,,Interested,,,,"Fitness and Wellness Professionals
Global Public Health",David L Katz
InoUno,25-34,Male,United States of America,,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Professional,"Tutoring (Languages, Math etc.)",I haven't yet started selling,0,27/7/2020 13:29,ino-uno,https://ino-uno.yondo.com,https://dashboard.yondo.com/manage?store=ino-uno,Providing online tutorial and lesson for different field including data and web design,Yes,Yes,Live 1-to-1 is the main feature being use.Unpublished store,,Single,Own,1 Year,Completed High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krav Maga Dallas,,Male,United States of America,Dallas,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Professional,Fitness,I'm just playing around,0,23/3/2020 19:06,KravMagaDallas,https://KravMagaDallas.yondo.com,https://dashboard.yondo.com/manage?store=KravMagaDallas,Fitness offers Muay Thai session,Yes,Yes,providing online series via video tutorial.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly Dawn Neumann,45-54,Female,United States of America,New York,NY,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,5k-50k,13/11/2016 20:25,KimberlyDawn,https://KimberlyDawn.yondo.com,https://dashboard.yondo.com/manage?store=KimberlyDawn,"Fitness - A hybrid of dance sculpt, barre, yoga, & physical therapy exercises,",Yes,Yes,"Next billing date: 11-25-2020.Video updat June 11,2020.One active video .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Huss Media,,Male,United States of America,New York,NY,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter Plus,Consulting,I haven't yet started selling,0,09ago2019 7:47:08,AdilHuss,https://AdilHuss.yondo.com,https://dashboard.yondo.com/manage?store=AdilHuss,.Dental Lead Specialist.offers.Website Development.SEOReputation Management & Citation,No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Life Pilates,,Female,United Kingdom,Rayleigh,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Professional,Fitness,I haven't yet started selling,5k-50k,17/3/2020 16:49,fulllifepilates,https://fulllifepilates.yondo.com,https://dashboard.yondo.com/manage?store=fulllifepilates,"Fitness, providing pilates in different level",Yes,Yes,uses both live 1 to 1 and videos for fitness sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Losander Magic LLC,,Male,United States of America,,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Other,I am already selling online using a different system,50k-250k,24/3/2020 15:23,Losander,https://Losander.yondo.com,https://dashboard.yondo.com/manage?store=Losander,offers lessons on how to execute magic tricks,Yes,Yes,also offers physical products used in the magic tricks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
